current_views,current_comments,current_likes,prev_5_video_views,prev_5_video_likes,prev_5_video_comments,views_after_30_days,days_since_prev_5_uploads
167965,1892,17322,"[140585, 119521, 121821, 3593, 441260]","[4136, 9131, 6862, 144, 35087]","[1980, 1095, 2741, 93, 5226]",365922,"[10, 9, 7, 5, 2]"
163396,1111,16093,"[158796, 194820, 112249, 332930, 276464]","[7063, 9952, 8706, 7596, 16097]","[1772, 3928, 3325, 5973, 4324]",555781,"[10, 8, 4, 3, 2]"
975353,6492,38500,"[306348, 221171, 438974, 253589, 297256]","[21456, 20076, 42360, 25451, 30765]","[8020, 3387, 11953, 5829, 7721]",2563902,"[10, 9, 6, 6, 3]"
305975,4538,13668,"[325061, 41626, 34243, 349111, 302717]","[12991, 4902, 3833, 12678, 22969]","[6139, 668, 1013, 2265, 6260]",1034006,"[8, 8, 7, 5, 4]"
328029,8627,38932,"[26826, 486510, 392838, 347975, 316455]","[572, 35237, 30467, 30275, 11689]","[296, 11627, 3610, 5359, 3563]",560999,"[10, 8, 6, 6, 5]"
1860,37,116,"[350682, 295158, 234502, 471242, 436934]","[16246, 23638, 9382, 47850, 31586]","[3743, 6088, 6712, 3323, 3379]",2362,"[7, 6, 6, 5, 4]"
530082,14028,48151,"[411743, 466487, 403035, 421764, 452329]","[45834, 45187, 47711, 28530, 12861]","[11894, 2380, 9835, 2438, 10869]",1522694,"[8, 6, 5, 4, 3]"
394255,3664,17337,"[404233, 475811, 401811, 310029, 312939]","[22974, 24890, 26571, 23022, 10700]","[9173, 12881, 4801, 2948, 7514]",1362122,"[10, 7, 4, 2, 2]"
119912,1716,7114,"[341214, 4384, 99536, 215073, 32303]","[39218, 330, 5409, 20681, 1174]","[2288, 107, 2863, 3454, 291]",310427,"[8, 6, 6, 6, 2]"
940996,20380,39063,"[228558, 383989, 474920, 105710, 289761]","[21248, 9814, 33904, 3079, 33539]","[2540, 10872, 12276, 1985, 3885]",1417434,"[9, 8, 7, 6, 2]"
358934,6151,16423,"[276717, 499757, 415552, 196758, 138756]","[10933, 50256, 12293, 10889, 6157]","[8141, 2820, 9575, 2202, 3507]",492549,"[10, 9, 5, 2, 2]"
217587,4824,14386,"[475963, 173883, 421103, 330469, 116553]","[44816, 5274, 32627, 26684, 13174]","[4176, 3709, 6114, 4963, 2044]",472147,"[10, 9, 7, 6, 3]"
132389,1575,10388,"[120571, 2512, 59549, 223130, 85489]","[5282, 67, 1585, 4769, 3594]","[2651, 32, 807, 1851, 1657]",303976,"[10, 9, 6, 5, 4]"
355322,8936,42593,"[428928, 82756, 347547, 435643, 122186]","[14911, 6576, 15248, 44947, 5920]","[4405, 531, 8166, 7713, 958]",677663,"[8, 6, 6, 5, 3]"
167491,1461,18322,"[319874, 319670, 7064, 282656, 54669]","[31699, 7109, 229, 29757, 5651]","[4708, 6267, 195, 7854, 1343]",447662,"[9, 6, 6, 4, 2]"
2696,44,322,"[59671, 291980, 190286, 406701, 274658]","[2282, 17859, 13988, 22763, 10330]","[1396, 2911, 2190, 4946, 2484]",7495,"[10, 10, 9, 3, 3]"
237504,4271,15081,"[208682, 240011, 250259, 300860, 93730]","[14536, 17926, 28868, 32580, 3086]","[1258, 5282, 1559, 1958, 841]",826776,"[7, 6, 6, 2, 2]"
231225,5130,20913,"[433967, 62897, 332595, 56270, 245724]","[21992, 1484, 23295, 3346, 18601]","[5411, 1078, 4446, 555, 5217]",274893,"[9, 9, 6, 6, 4]"
299575,7137,32899,"[163828, 361627, 269834, 497367, 177065]","[4421, 26706, 24144, 51569, 13871]","[1582, 10528, 1987, 12048, 1268]",582821,"[9, 8, 6, 3, 2]"
102714,812,8280,"[225877, 126989, 403802, 94393, 41044]","[6634, 5880, 13037, 3489, 2192]","[3467, 3504, 3993, 2765, 1036]",332286,"[10, 6, 6, 5, 4]"
291685,5877,24653,"[319432, 272227, 483177, 304686, 353049]","[8023, 28391, 40609, 6363, 16506]","[4408, 3556, 8435, 5536, 5267]",505807,"[8, 7, 4, 4, 4]"
326898,1909,29096,"[310115, 318648, 468656, 172151, 273131]","[32726, 7805, 26054, 14312, 30401]","[8280, 8724, 3079, 4479, 6691]",855624,"[7, 5, 4, 2, 2]"
252113,4585,6640,"[379087, 458878, 204141, 155649, 60928]","[28304, 25510, 20265, 12975, 5421]","[4084, 13417, 4389, 1545, 1447]",606617,"[9, 8, 8, 5, 3]"
390013,8277,15496,"[3655, 402826, 483000, 292092, 389578]","[101, 19474, 41793, 34797, 17718]","[61, 6526, 4638, 5915, 9006]",785679,"[10, 10, 8, 8, 6]"
341320,6378,11435,"[462128, 439196, 13832, 207011, 180779]","[27779, 15760, 1068, 15457, 7038]","[8569, 12880, 316, 3524, 5044]",509721,"[8, 8, 4, 4, 4]"
2536,63,138,"[210034, 216411, 48302, 78392, 433468]","[17592, 20277, 1637, 5876, 30738]","[2848, 3441, 868, 1020, 5344]",5627,"[8, 8, 8, 7, 6]"
328329,2422,35998,"[268815, 172801, 280518, 170381, 453181]","[14784, 7422, 20480, 5719, 45204]","[5914, 4192, 4199, 4408, 7857]",1039925,"[10, 9, 6, 4, 2]"
253508,6746,15523,"[388648, 497633, 387107, 291778, 214014]","[15038, 50429, 33188, 18639, 22782]","[3296, 13010, 2166, 6953, 4137]",460678,"[10, 8, 6, 2, 2]"
142535,777,9597,"[227868, 130111, 494030, 351421, 309086]","[18951, 14040, 18688, 32953, 6966]","[6415, 3847, 6844, 2697, 6634]",167685,"[10, 9, 9, 4, 2]"
858153,18976,101496,"[458713, 345571, 487174, 263311, 147897]","[49506, 35545, 38404, 7940, 7748]","[9215, 1844, 2955, 5777, 4023]",1684892,"[7, 7, 7, 6, 3]"
2837,24,229,"[435200, 370391, 401404, 234117, 253590]","[39593, 29433, 22369, 23669, 28846]","[11640, 4101, 6479, 3174, 5753]",5617,"[9, 8, 7, 3, 3]"
247363,6056,20680,"[361039, 4206, 278791, 492980, 152115]","[28777, 155, 24898, 46204, 10333]","[2651, 85, 3988, 14168, 2712]",357002,"[9, 8, 7, 5, 4]"
342640,7576,14542,"[355949, 51183, 141770, 357461, 463816]","[24774, 2112, 12373, 11359, 12137]","[5204, 780, 1842, 4092, 6247]",478795,"[10, 9, 9, 8, 5]"
150701,3841,16511,"[106942, 104166, 33962, 479889, 76421]","[6274, 3692, 1479, 29975, 3701]","[2410, 1921, 867, 11091, 626]",330999,"[8, 7, 6, 4, 4]"
373742,2540,20935,"[494877, 493573, 72310, 456640, 471808]","[42526, 45200, 2687, 14234, 16634]","[5528, 4543, 1579, 7087, 8702]",517686,"[7, 5, 4, 3, 3]"
324319,2986,30337,"[120440, 336031, 353181, 342765, 368176]","[5791, 13774, 28765, 14116, 26068]","[1827, 3629, 4344, 5376, 5027]",839229,"[10, 10, 6, 5, 2]"
273579,2145,14732,"[246102, 263915, 365968, 439032, 159991]","[13356, 25231, 15693, 36211, 14476]","[5790, 2686, 9594, 6815, 1665]",878592,"[8, 7, 7, 7, 5]"
232256,1866,20032,"[306018, 226984, 329434, 296399, 384569]","[30967, 5672, 14588, 28768, 22157]","[5146, 5806, 2426, 6500, 3989]",668936,"[9, 9, 7, 5, 4]"
583549,14397,20401,"[295475, 215720, 191550, 233725, 481968]","[30766, 12316, 9620, 16155, 40144]","[1751, 5922, 5547, 3607, 7381]",1052826,"[10, 9, 8, 6, 4]"
392763,9076,45361,"[157132, 419924, 167230, 178927, 43503]","[13043, 47291, 6668, 20069, 3754]","[4686, 9831, 3628, 4539, 407]",1081002,"[9, 6, 5, 4, 2]"
256215,6734,18330,"[481933, 370673, 141716, 404899, 21574]","[24101, 34888, 6075, 45025, 1585]","[6025, 9045, 1815, 11775, 638]",385083,"[10, 9, 7, 7, 4]"
190659,4924,5833,"[143718, 448111, 63176, 438953, 41530]","[8474, 13371, 3205, 48200, 3264]","[3963, 6842, 1861, 6145, 993]",556404,"[10, 7, 7, 5, 4]"
879363,16454,91125,"[311431, 424677, 51686, 112337, 208130]","[27061, 49266, 4637, 11271, 12961]","[2308, 3916, 1528, 1946, 1103]",1142442,"[8, 8, 5, 3, 2]"
262721,4018,24141,"[391623, 151970, 369090, 213257, 300355]","[18112, 12675, 21402, 15959, 32262]","[5361, 1034, 9217, 4025, 4876]",642893,"[10, 7, 6, 4, 2]"
198463,1664,11794,"[61934, 402794, 318769, 53460, 324165]","[7033, 18142, 11721, 3706, 8120]","[366, 7008, 3308, 279, 4020]",490243,"[10, 10, 7, 7, 3]"
902550,16585,34077,"[25590, 385052, 9328, 315124, 366260]","[1657, 38186, 1029, 9034, 38332]","[709, 10821, 224, 7421, 1967]",2525412,"[9, 9, 4, 3, 2]"
389227,3139,33923,"[120952, 261083, 461855, 329171, 420020]","[8580, 13039, 18608, 20444, 9904]","[1882, 1753, 12435, 6381, 8883]",636258,"[8, 8, 7, 5, 5]"
215226,3825,17732,"[183386, 109630, 431176, 475107, 321225]","[15145, 12597, 39773, 43931, 25436]","[1568, 1972, 4879, 14237, 3749]",237246,"[10, 10, 5, 5, 3]"
750136,10453,79686,"[71680, 6020, 33936, 2628, 212567]","[3381, 353, 3233, 256, 23609]","[1527, 101, 490, 40, 5582]",1830436,"[10, 8, 7, 7, 3]"
197057,5367,20224,"[287519, 60388, 212806, 255727, 419722]","[14753, 3889, 11849, 16112, 11385]","[2242, 1243, 4703, 5348, 10105]",486718,"[9, 6, 5, 5, 4]"
45774,313,5126,"[124988, 408542, 114035, 31279, 429008]","[11270, 30355, 9144, 2277, 50263]","[3174, 10022, 2045, 415, 2354]",155413,"[9, 7, 6, 5, 3]"
1369,40,48,"[351185, 84035, 262663, 443088, 276804]","[29953, 4923, 19193, 37776, 6998]","[4327, 1388, 3063, 2757, 1983]",3397,"[8, 7, 5, 3, 2]"
889,13,100,"[412303, 207283, 53574, 125777, 32685]","[43506, 14634, 6196, 4229, 3836]","[6606, 5974, 882, 2295, 821]",1483,"[10, 10, 9, 9, 6]"
96515,2194,7303,"[139027, 194937, 404213, 329242, 422692]","[14820, 16630, 40454, 36054, 40195]","[3187, 5676, 10748, 8357, 3026]",173039,"[6, 6, 5, 5, 4]"
227978,1178,9112,"[285682, 388073, 275513, 12558, 142589]","[29688, 35045, 21040, 1368, 4421]","[6531, 3362, 1797, 104, 4102]",662970,"[10, 6, 6, 6, 5]"
221876,6375,24420,"[335160, 306168, 445700, 140784, 114018]","[25044, 25929, 49886, 8081, 4179]","[4045, 4613, 9415, 720, 3002]",771185,"[8, 4, 2, 2, 2]"
258109,2246,8931,"[266525, 239577, 42702, 251049, 483081]","[8799, 21069, 4343, 5342, 36837]","[4460, 2752, 385, 2435, 11170]",655852,"[10, 10, 6, 4, 2]"
276754,2726,6966,"[8445, 118426, 133065, 193089, 471951]","[458, 3761, 8330, 7311, 46211]","[226, 1745, 2366, 5568, 8678]",543871,"[10, 3, 2, 2, 2]"
310892,3065,27462,"[319216, 236610, 78519, 353017, 330549]","[18618, 27308, 2677, 31069, 12955]","[3564, 5793, 1133, 1827, 5075]",967968,"[7, 6, 6, 4, 3]"
215057,3339,12087,"[14116, 337403, 360917, 379338, 272066]","[729, 32023, 31033, 28897, 16781]","[307, 5122, 6750, 7490, 3178]",401990,"[9, 9, 7, 7, 5]"
714,11,77,"[107991, 495693, 339412, 237811, 296340]","[10528, 22451, 19797, 14747, 14957]","[792, 3895, 4226, 6074, 2479]",1050,"[10, 9, 9, 5, 4]"
350345,9859,23937,"[20288, 494788, 478291, 494160, 8224]","[1560, 28342, 55074, 51584, 846]","[595, 8128, 3553, 11927, 119]",514945,"[10, 10, 5, 4, 4]"
338211,6018,26358,"[283984, 428458, 490660, 107862, 357974]","[6698, 22141, 20475, 9840, 23294]","[5134, 10858, 8322, 2008, 9328]",568945,"[10, 7, 6, 5, 4]"
141706,3058,5484,"[246412, 116792, 23685, 172064, 391521]","[19966, 2643, 2151, 16063, 38734]","[2294, 2418, 224, 4932, 8564]",314281,"[9, 9, 6, 4, 2]"
1988,56,157,"[393968, 101668, 116804, 10708, 346795]","[8153, 9145, 5123, 275, 31113]","[9415, 2184, 1650, 190, 9839]",4005,"[9, 7, 6, 4, 2]"
160601,4019,6242,"[159762, 455073, 88853, 42739, 168348]","[10975, 29068, 5396, 2414, 12222]","[3213, 7581, 2436, 553, 3275]",240714,"[10, 8, 5, 5, 4]"
172350,5036,9133,"[60289, 243340, 123363, 99452, 273105]","[2243, 11267, 9163, 3231, 26910]","[1493, 3047, 832, 2955, 3077]",515787,"[10, 8, 5, 4, 4]"
368255,7939,10227,"[466377, 372794, 140384, 71443, 379855]","[46431, 25426, 15180, 6686, 19550]","[6940, 8086, 3841, 676, 6786]",1199401,"[10, 9, 7, 3, 2]"
100600,1719,7459,"[43191, 214764, 341808, 137979, 24554]","[4864, 6257, 20987, 15445, 989]","[1224, 3904, 2562, 2241, 323]",224420,"[10, 8, 7, 4, 4]"
376483,6178,10366,"[30388, 95327, 310104, 224083, 499028]","[841, 4102, 15813, 21728, 11091]","[515, 1448, 9058, 2129, 10328]",820669,"[7, 6, 5, 4, 3]"
921684,20597,79826,"[193239, 26940, 253660, 81663, 235905]","[13157, 993, 19722, 5191, 27065]","[5488, 515, 5354, 689, 2496]",2691469,"[10, 8, 4, 4, 4]"
442518,3308,26245,"[306308, 336918, 166802, 126583, 491811]","[34981, 22279, 10295, 5918, 53685]","[8007, 5078, 961, 2046, 4682]",1502697,"[9, 8, 4, 2, 2]"
171242,4951,14615,"[231699, 250244, 10968, 11635, 451690]","[4776, 19926, 936, 1196, 18040]","[4195, 4048, 237, 76, 12240]",575592,"[10, 9, 9, 6, 3]"
305505,7729,19557,"[47543, 161322, 430700, 319180, 266350]","[5697, 7737, 34025, 15386, 8312]","[912, 2231, 8433, 6053, 4942]",556661,"[10, 10, 9, 5, 5]"
951,28,59,"[455417, 499078, 246079, 130893, 259984]","[38734, 35077, 18842, 3223, 25356]","[4922, 6674, 2635, 3749, 2396]",1232,"[10, 9, 8, 8, 7]"
78190,1544,6897,"[50198, 211694, 21845, 478193, 460823]","[1771, 14229, 643, 38355, 48621]","[1176, 3060, 651, 10316, 11696]",202661,"[7, 6, 5, 5, 2]"
302009,8704,27363,"[499820, 75585, 191291, 486590, 120413]","[51945, 7278, 6095, 21680, 2729]","[2598, 801, 4779, 13438, 1781]",992608,"[10, 9, 8, 5, 2]"
1131,25,75,"[272811, 63353, 231183, 310947, 244821]","[22276, 5768, 11750, 32769, 15982]","[8173, 317, 1788, 3900, 1380]",1473,"[9, 8, 3, 3, 3]"
313222,8584,19162,"[24738, 388280, 482794, 195883, 217465]","[1520, 45426, 39921, 12063, 21807]","[306, 4521, 10338, 2891, 1826]",644172,"[10, 10, 9, 5, 3]"
546,4,33,"[388730, 433154, 248132, 103713, 74433]","[37408, 45491, 9635, 9372, 1736]","[3066, 10569, 6283, 2054, 1454]",1695,"[9, 8, 8, 5, 4]"
2219,42,60,"[393124, 233319, 25186, 492042, 456607]","[30588, 15731, 2669, 23235, 9736]","[5144, 1223, 468, 7113, 11574]",6929,"[10, 9, 9, 8, 3]"
416980,3994,30503,"[346108, 88271, 418817, 226698, 498192]","[21175, 4869, 33656, 21296, 50789]","[5335, 2022, 11687, 6352, 11259]",564129,"[9, 8, 4, 4, 2]"
155484,1189,10818,"[495713, 373447, 87798, 18583, 411220]","[13855, 23319, 4394, 1471, 27655]","[6156, 9917, 1331, 311, 10759]",202365,"[9, 5, 3, 2, 2]"
100463,1573,2762,"[147053, 42978, 301237, 72796, 436635]","[8066, 4373, 9316, 4479, 27422]","[2458, 1140, 3149, 551, 8927]",159548,"[9, 7, 6, 5, 4]"
483,5,10,"[45850, 147162, 290527, 480848, 460762]","[3469, 9825, 25665, 38612, 14943]","[985, 2975, 5311, 7241, 13303]",1430,"[8, 5, 5, 3, 2]"
287053,2092,25175,"[168996, 458926, 76423, 238768, 265314]","[6619, 24696, 1732, 7801, 17371]","[4639, 7923, 1247, 5894, 3103]",770558,"[9, 8, 8, 3, 3]"
1106,16,46,"[141909, 194047, 142595, 341050, 365970]","[7552, 5711, 4068, 29275, 21421]","[3801, 3475, 1765, 7851, 7539]",2004,"[10, 9, 9, 7, 6]"
234438,6567,23719,"[496647, 36007, 319235, 240085, 350112]","[27810, 2923, 17988, 7075, 22880]","[9896, 546, 4714, 6124, 2010]",482973,"[10, 5, 3, 2, 2]"
212375,4433,25446,"[1768, 239558, 333741, 196196, 488365]","[206, 5232, 34747, 22783, 58263]","[29, 6389, 2689, 3067, 6201]",677501,"[8, 8, 7, 4, 3]"
224314,2245,9096,"[454549, 115023, 27709, 276407, 167828]","[19618, 9269, 1946, 20120, 7249]","[9943, 1341, 408, 3931, 3658]",295116,"[6, 5, 3, 2, 2]"
2655,53,215,"[324542, 314762, 20244, 284690, 483706]","[19753, 20231, 915, 5727, 15016]","[7333, 6944, 264, 4789, 6014]",7506,"[8, 7, 3, 3, 2]"
263478,3553,21630,"[43273, 490354, 396777, 425717, 273230]","[2384, 40990, 35250, 25417, 8305]","[872, 12285, 11879, 4502, 6150]",749782,"[10, 10, 9, 5, 2]"
806,15,48,"[215025, 385254, 395178, 24582, 395581]","[6152, 15596, 33159, 1712, 10684]","[3999, 2447, 7031, 715, 5017]",1778,"[9, 7, 5, 4, 3]"
243786,7203,21680,"[162945, 394499, 444714, 8060, 291812]","[11899, 29824, 28961, 305, 12354]","[1959, 2073, 12418, 178, 6490]",486022,"[8, 8, 7, 7, 2]"
307700,3165,33994,"[5533, 367711, 137658, 430817, 175517]","[455, 13818, 11990, 50279, 8010]","[47, 2060, 1992, 4465, 3035]",953540,"[8, 7, 6, 5, 3]"
688747,6914,25693,"[362921, 289164, 277477, 182919, 61975]","[38827, 30872, 20697, 20318, 6497]","[10507, 7594, 7084, 3060, 638]",1003264,"[10, 9, 8, 6, 4]"
130307,3486,7452,"[141189, 146970, 258271, 265337, 31471]","[4820, 13898, 13651, 18776, 3042]","[3357, 1348, 1926, 5248, 740]",438267,"[10, 8, 8, 5, 2]"
137173,2795,11249,"[388206, 339568, 207374, 194650, 26375]","[41349, 20275, 17532, 11616, 2852]","[8257, 6616, 6118, 2338, 174]",275861,"[10, 8, 8, 6, 2]"
2078,45,222,"[361518, 304143, 392738, 399072, 82536]","[32197, 19987, 34914, 27020, 9717]","[4832, 8991, 2601, 8817, 1349]",4993,"[10, 6, 4, 4, 2]"
598,16,27,"[336943, 219097, 221225, 195899, 191624]","[14075, 14882, 20841, 8200, 5997]","[7126, 6484, 4429, 4363, 3646]",1416,"[9, 9, 8, 6, 4]"
33838,432,1649,"[8176, 37812, 134720, 143844, 197935]","[475, 3518, 5563, 8276, 21983]","[64, 893, 3039, 1188, 4396]",104587,"[10, 8, 8, 7, 4]"
247551,4957,13531,"[249426, 117823, 366493, 452089, 227395]","[8228, 13341, 16881, 23455, 19695]","[1734, 2437, 10225, 5075, 3194]",505290,"[8, 7, 6, 4, 2]"
190315,3217,12189,"[170707, 30054, 382031, 224889, 42646]","[13366, 1375, 16350, 4700, 4183]","[4468, 727, 2620, 5409, 262]",580363,"[9, 8, 8, 5, 2]"
324909,3563,8862,"[359273, 245799, 375784, 312152, 108315]","[17448, 7955, 18324, 28986, 4781]","[9299, 4114, 4912, 4779, 2462]",960103,"[8, 7, 7, 7, 6]"
417933,8588,12334,"[105639, 232461, 283735, 132472, 309346]","[11235, 9191, 30047, 8685, 32019]","[1226, 1933, 5355, 2349, 4304]",655654,"[9, 9, 8, 5, 5]"
210102,1288,10695,"[207959, 57061, 268008, 339652, 397690]","[20035, 1649, 6900, 23600, 20502]","[1065, 546, 2805, 4148, 10713]",431496,"[8, 8, 4, 4, 2]"
252311,2421,10290,"[162471, 218507, 310384, 197062, 154853]","[4707, 14412, 37042, 18061, 11565]","[2977, 1331, 8980, 5558, 3416]",586110,"[7, 5, 4, 4, 3]"
208950,6010,24829,"[173147, 439737, 480888, 274829, 171343]","[3768, 41513, 18698, 28166, 9510]","[2331, 2328, 14279, 5579, 2667]",595816,"[10, 7, 6, 6, 3]"
952,18,62,"[11656, 5562, 185389, 421461, 35440]","[1076, 585, 11228, 11838, 3007]","[144, 47, 3292, 7184, 635]",2800,"[9, 9, 8, 8, 2]"
2573,75,280,"[152039, 383451, 367172, 327877, 872]","[16809, 22050, 26662, 15771, 18]","[2582, 3157, 3518, 5579, 23]",7099,"[9, 7, 6, 3, 2]"
331164,9555,8034,"[143733, 380391, 68213, 356312, 330230]","[8597, 42952, 2361, 14585, 19835]","[4095, 2984, 1488, 2958, 5981]",1002176,"[10, 7, 4, 3, 3]"
548535,3610,47422,"[490421, 39407, 424874, 196615, 493478]","[53665, 1311, 23339, 13651, 11492]","[5738, 783, 5565, 5262, 14024]",648102,"[10, 9, 5, 3, 3]"
309648,3446,26770,"[469356, 101066, 247002, 349565, 163807]","[41756, 8588, 27108, 23052, 3413]","[9746, 2211, 4455, 7771, 2144]",671308,"[10, 9, 7, 6, 4]"
196626,2344,21282,"[196255, 260423, 115187, 248646, 260239]","[11545, 28469, 12795, 13790, 20610]","[5709, 1663, 690, 4454, 3195]",390165,"[10, 8, 7, 4, 3]"
300184,6887,22924,"[3163, 172963, 486591, 357547, 413262]","[72, 20267, 57448, 16364, 8651]","[66, 3668, 13872, 4455, 4024]",966160,"[6, 6, 5, 4, 2]"
317558,4748,30234,"[227306, 475296, 218880, 408488, 457830]","[23390, 29556, 24644, 48879, 44900]","[4923, 7033, 1461, 7895, 6429]",450810,"[10, 7, 3, 3, 2]"
371100,5524,39744,"[188661, 455988, 364617, 119380, 47555]","[16150, 34365, 18086, 3305, 3890]","[3245, 10933, 5577, 3538, 710]",1181470,"[10, 10, 5, 5, 3]"
541,10,25,"[45748, 487670, 380295, 259445, 324893]","[2888, 29801, 30288, 20917, 6986]","[371, 5321, 8347, 5038, 7778]",745,"[10, 6, 5, 5, 5]"
2890,18,199,"[127456, 226871, 201044, 484997, 99794]","[5025, 25269, 12219, 20005, 8901]","[1416, 6485, 2852, 10483, 1360]",6601,"[9, 8, 5, 4, 2]"
108376,1722,5623,"[460199, 492180, 488387, 142895, 211658]","[49205, 43530, 19625, 11568, 6158]","[10305, 7493, 4294, 4212, 5826]",247682,"[10, 9, 4, 4, 2]"
92073,2551,7769,"[403529, 230453, 51813, 107373, 282876]","[38248, 25979, 3901, 6953, 33038]","[6699, 4847, 742, 2244, 6506]",98235,"[9, 7, 7, 6, 6]"
213620,4043,19952,"[77360, 354645, 95785, 26322, 471246]","[3340, 8859, 3714, 1523, 28254]","[1200, 6026, 1848, 256, 9589]",514388,"[10, 9, 8, 6, 2]"
163309,4097,6660,"[267572, 10104, 48529, 355944, 145349]","[7088, 764, 3936, 37926, 14812]","[3246, 85, 432, 10402, 3173]",400822,"[7, 7, 5, 4, 3]"
218166,1505,25836,"[358624, 218709, 245295, 476678, 349807]","[40994, 22724, 20598, 18375, 37415]","[8560, 2552, 6163, 12836, 7855]",578895,"[8, 7, 6, 5, 2]"
419684,6113,22829,"[222203, 358521, 77168, 165747, 9512]","[15990, 26172, 6999, 8675, 225]","[2388, 3925, 1033, 4738, 238]",1113390,"[10, 8, 7, 4, 2]"
111171,3007,9496,"[49031, 133230, 287794, 144887, 149775]","[3458, 4455, 17856, 8504, 8262]","[1332, 863, 8433, 754, 4289]",154719,"[8, 6, 5, 4, 3]"
659272,15534,74460,"[28078, 2408, 98559, 462898, 450583]","[2939, 130, 10536, 23388, 24326]","[533, 18, 2764, 11808, 9805]",908430,"[9, 7, 7, 6, 2]"
352214,8298,9739,"[229556, 491773, 463697, 169171, 142390]","[14555, 42683, 16816, 10963, 3029]","[3888, 13473, 9236, 2709, 1289]",436386,"[10, 8, 6, 4, 3]"
289335,5560,11237,"[162397, 121496, 382065, 212813, 233045]","[6205, 5418, 10057, 19395, 13222]","[1191, 3098, 8440, 3470, 2606]",985512,"[10, 10, 10, 4, 4]"
897781,20948,20400,"[136289, 267498, 100662, 371431, 277002]","[14016, 28078, 10562, 23062, 27449]","[3578, 4410, 1305, 8375, 7648]",2666721,"[8, 4, 4, 4, 2]"
2852,66,189,"[481770, 312369, 2048, 90797, 145560]","[30931, 31804, 232, 3899, 11341]","[12096, 7437, 41, 496, 3362]",8980,"[9, 8, 6, 3, 2]"
723149,13607,66179,"[168134, 150675, 309848, 287076, 431086]","[19069, 16697, 31436, 21923, 31344]","[2222, 1698, 5518, 5582, 4790]",2028004,"[10, 9, 9, 4, 3]"
683945,5563,42633,"[371113, 331724, 348341, 428689, 18876]","[23100, 13133, 33059, 22972, 777]","[2108, 9707, 5811, 3877, 451]",1848322,"[9, 7, 5, 5, 3]"
252830,6871,15403,"[254759, 193461, 451121, 253800, 153535]","[14157, 16415, 35387, 28082, 12233]","[4507, 4951, 4538, 2814, 3775]",643393,"[9, 9, 6, 4, 4]"
197407,5603,17574,"[226821, 122785, 105375, 175493, 135960]","[13111, 7886, 11211, 9622, 11354]","[2344, 1389, 2235, 4221, 2250]",559464,"[9, 8, 7, 4, 2]"
231662,2104,25548,"[221755, 162860, 67810, 377905, 37932]","[5118, 18134, 1854, 34003, 3528]","[5786, 3067, 1568, 4749, 896]",422460,"[10, 7, 4, 3, 2]"
759026,9138,61585,"[482506, 170648, 403042, 431226, 85565]","[39341, 5513, 28040, 37491, 2982]","[8408, 2804, 11242, 12890, 1827]",1562557,"[10, 6, 3, 2, 2]"
2321,47,169,"[330154, 59362, 1758, 105856, 282138]","[10035, 6714, 135, 12598, 28005]","[8403, 869, 20, 2112, 7610]",4731,"[7, 7, 3, 3, 2]"
144049,3143,15826,"[218084, 32356, 232118, 209923, 2988]","[14612, 1815, 27270, 4355, 338]","[6297, 203, 6322, 3520, 72]",340702,"[10, 10, 9, 6, 4]"
2657,20,300,"[44857, 48287, 420079, 179031, 155591]","[4962, 3566, 15478, 11667, 18592]","[566, 566, 3339, 3567, 1125]",6423,"[10, 7, 7, 6, 3]"
312797,7610,29152,"[275193, 300657, 286991, 168780, 327416]","[20303, 32232, 28747, 8043, 27178]","[1426, 4480, 3142, 4798, 4955]",892300,"[10, 8, 8, 7, 5]"
362330,9461,27627,"[440999, 299684, 140250, 146321, 255143]","[24682, 31120, 3988, 9344, 11731]","[11558, 3184, 3390, 2968, 6855]",424226,"[9, 7, 5, 4, 3]"
303073,7431,6432,"[140812, 174115, 298763, 369041, 423754]","[10327, 17099, 22822, 16206, 13729]","[4005, 4359, 1665, 9424, 8375]",465295,"[9, 9, 8, 6, 4]"
311014,7401,16519,"[326648, 194045, 74969, 382763, 434021]","[7285, 8458, 3510, 13684, 29559]","[3949, 5788, 1461, 7334, 4566]",609791,"[10, 8, 7, 6, 3]"
972,7,52,"[472000, 434775, 445655, 254117, 115595]","[37515, 50127, 37749, 7260, 8559]","[13091, 2244, 4087, 6445, 3161]",1445,"[9, 3, 3, 2, 2]"
1013,23,59,"[114417, 34841, 120160, 118981, 155475]","[12787, 1956, 2919, 6691, 13551]","[1182, 879, 1260, 624, 2752]",2729,"[6, 6, 5, 4, 4]"
226944,2810,6745,"[452243, 448434, 351245, 68660, 6005]","[26488, 49900, 26001, 3765, 329]","[3747, 8899, 6868, 1716, 60]",476321,"[8, 6, 5, 4, 2]"
204803,5728,22145,"[168640, 402797, 481139, 85372, 159485]","[6162, 17555, 28964, 4575, 15810]","[3058, 7811, 9148, 1277, 4706]",639590,"[9, 8, 5, 4, 3]"
112516,706,9233,"[347814, 69783, 314515, 20787, 26387]","[29648, 7935, 30033, 993, 2421]","[4302, 543, 7211, 197, 205]",119373,"[9, 9, 8, 4, 4]"
397157,2429,31150,"[482905, 256597, 78605, 434616, 154054]","[11125, 27500, 7056, 16113, 3476]","[5552, 7157, 1705, 12163, 2488]",1192412,"[10, 9, 9, 8, 2]"
